Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price
79545.4585743168,5.68286132161559,7.00918814279224,4.09,23086.8005026865,1059033.55787012
79248.6424548257,6.00289980827524,6.73082101909492,3.09,40173.0721736448,1059034.55787012
61287.0671786568,5.86588984031,8.5127274303751,5.13,36882.1593997046,1058987.98787608
63345.240046228,7.18823609451864,5.58672866482765,3.26,34310.2428309071,1260616.80662945
59982.197225708,5.04055452310628,7.83938778512049,4.23,26354.1094721031,630943.48933854
80175.7541594853,4.98840775753371,6.10451243942888,4.04,26748.4284246897,1068138.07439353
64698.4634278877,6.02533590688715,8.14775958502343,3.41,60828.2490854072,1502055.81737441
78394.3392775309,6.98977974771828,6.62047799518503,2.42,36516.3589724938,1573936.56447772
59927.6608133496,5.36212556960358,6.3931209805509,2.3,29387.3960028158,798869.532833163
81885.9271840957,4.42367178989788,8.16768800347235,6.1,40149.9657492134,1545154.81264196
80527.4720829229,8.09351268063935,5.04274679964598,4.1,47224.3598402219,1707045.72215806
50593.6954970428,4.49651279309704,7.46762740400802,4.49,34343.9918855788,663732.396896327
39033.8092369824,7.67175537285443,7.2500293172735,3.1,39220.3614673725,1042814.09782009
73163.6634410467,6.91953482545656,5.99318790094557,2.27,32326.1231394881,1291331.51848582
69391.3801843616,5.34477617673573,8.40641771453425,4.37,35521.2940331732,1402818.21016585
73091.8667458232,5.44315646653547,8.51751271113798,4.01,23929.524053268,1306674.6599512
79706.9630576574,5.06788959105897,8.21977112328626,3.12,39717.8135763095,1556786.60019477
61929.0770180893,4.78855024180589,5.09700955437756,4.3,24595.901497823,528485.246730596
63508.19429943,5.94716513955247,7.18777383532973,5.12,35719.6530520309,1019425.93675783
62085.2764034049,5.73941084363057,7.09180810424997,5.49,44922.1067022931,1030591.42921161
86294.9990887106,6.62745693978174,8.01189785315056,4.07,47560.7753362952,2146925.33988866
60835.089978854,5.55122159199033,6.51717503809478,2.1,45574.741662258,929247.5995364
64490.6502667551,4.21032287005484,5.47808773076914,4.31,40358.9601056176,718887.231500928
60697.3515394483,6.1704840908385,7.15053657233596,6.34,28140.9670877247,743999.819160197
59748.8554869742,5.3393398807459,7.7486816056066,4.23,27809.9865437589,895737.133383508
56974.4765387964,8.28756219375901,7.31287997146301,4.33,40694.8695130223,1453974.50595087
82173.626075846,4.01852468494281,6.99269875679184,2.03,38853.9180664817,1125692.50729529
64626.8809781355,5.4433595901921,6.98875353866204,4,27784.7422801859,975429.492792922
90499.0574513475,6.3843589207152,4.24219130157263,3.04,33970.1649903713,1240763.76557148
59323.7920997004,6.97782794017884,8.2736970777766,4.07,37520.6577324497,1577017.76000155
77811.5220345745,5.31446021480662,6.68668613300472,3.24,33754.7378049846,1246830.18842863
